global_idx,sub_idx,frame_idx,name,top_sc_px,bot_sc_px,end_ed_px,sc_thickness_mm,ed_thickness_mm,total_thickness_mm,surface_disp_mm
198,1,98,1_98,100.5859375,107.626953125,136.796875,0.035205078125,0.145849609375,0.1810546875,0.1408203125
199,1,99,1_99,100.5859375,106.62109375,136.2939453125,0.03017578125,0.1483642578125,0.1785400390625,0.1408203125
200,1,100,1_100,98.57421875,105.615234375,132.7734375,0.035205078125,0.135791015625,0.17099609375,0.13076171875
201,2,1,2_1,98.57421875,104.609375,136.2939453125,0.03017578125,0.1584228515625,0.1885986328125,0.13076171875
202,2,2,2_2,97.0654296875,103.1005859375,130.76171875,0.03017578125,0.1383056640625,0.1684814453125,0.1232177734375
203,2,3,2_3,95.556640625,102.59765625,135.791015625,0.035205078125,0.165966796875,0.201171875,0.115673828125
204,2,4,2_4,94.55078125,101.0888671875,132.7734375,0.0326904296875,0.1584228515625,0.19111328125,0.11064453125
205,2,5,2_5,94.0478515625,100.5859375,132.7734375,0.0326904296875,0.1609375,0.1936279296875,0.1081298828125
206,2,6,2_6,95.556640625,101.591796875,129.755859375,0.03017578125,0.1408203125,0.17099609375,0.115673828125
207,2,7,2_7,95.556640625,101.591796875,130.2587890625,0.03017578125,0.1433349609375,0.1735107421875,0.115673828125
208,2,8,2_8,95.556640625,102.0947265625,134.78515625,0.0326904296875,0.1634521484375,0.196142578125,0.115673828125
209,2,9,2_9,95.556640625,102.59765625,131.2646484375,0.035205078125,0.1433349609375,0.1785400390625,0.115673828125
210,2,10,2_10,96.5625,102.59765625,130.76171875,0.03017578125,0.1408203125,0.17099609375,0.120703125
211,2,11,2_11,97.568359375,104.609375,131.767578125,0.035205078125,0.135791015625,0.17099609375,0.125732421875
212,2,12,2_12,98.57421875,104.609375,135.791015625,0.03017578125,0.155908203125,0.186083984375,0.13076171875
213,2,13,2_13,98.57421875,105.1123046875,136.2939453125,0.0326904296875,0.155908203125,0.1885986328125,0.13076171875
214,2,14,2_14,98.0712890625,105.615234375,136.796875,0.0377197265625,0.155908203125,0.1936279296875,0.1282470703125
215,2,15,2_15,100.0830078125,106.62109375,134.78515625,0.0326904296875,0.1408203125,0.1735107421875,0.1383056640625
216,2,16,2_16,100.0830078125,106.62109375,133.779296875,0.0326904296875,0.135791015625,0.1684814453125,0.1383056640625
217,2,17,2_17,101.0888671875,107.626953125,140.8203125,0.0326904296875,0.165966796875,0.1986572265625,0.1433349609375
218,2,18,2_18,101.591796875,108.6328125,136.796875,0.035205078125,0.1408203125,0.176025390625,0.145849609375
219,2,19,2_19,102.59765625,109.1357421875,141.3232421875,0.0326904296875,0.1609375,0.1936279296875,0.15087890625
220,2,20,2_20,102.59765625,109.638671875,139.3115234375,0.035205078125,0.1483642578125,0.1835693359375,0.15087890625
221,2,21,2_21,103.603515625,110.64453125,141.3232421875,0.035205078125,0.1533935546875,0.1885986328125,0.155908203125
222,2,22,2_22,104.1064453125,110.64453125,141.826171875,0.0326904296875,0.155908203125,0.1885986328125,0.1584228515625
223,2,23,2_23,104.609375,111.1474609375,142.3291015625,0.0326904296875,0.155908203125,0.1885986328125,0.1609375
224,2,24,2_24,104.609375,112.65625,143.3349609375,0.040234375,0.1533935546875,0.1936279296875,0.1609375
225,2,25,2_25,105.615234375,112.65625,143.3349609375,0.035205078125,0.1533935546875,0.1885986328125,0.165966796875
226,2,26,2_26,104.609375,112.65625,143.837890625,0.040234375,0.155908203125,0.196142578125,0.1609375
227,2,27,2_27,106.1181640625,112.65625,142.83203125,0.0326904296875,0.15087890625,0.1835693359375,0.1684814453125
228,2,28,2_28,106.62109375,112.65625,144.3408203125,0.03017578125,0.1584228515625,0.1885986328125,0.17099609375
229,2,29,2_29,106.62109375,113.1591796875,143.837890625,0.0326904296875,0.1533935546875,0.186083984375,0.17099609375
230,2,30,2_30,105.615234375,114.66796875,145.3466796875,0.045263671875,0.1533935546875,0.1986572265625,0.165966796875
231,2,31,2_31,106.62109375,113.662109375,147.3583984375,0.035205078125,0.1684814453125,0.2036865234375,0.17099609375
232,2,32,2_32,106.1181640625,113.1591796875,144.3408203125,0.035205078125,0.155908203125,0.19111328125,0.1684814453125
233,2,33,2_33,107.626953125,114.66796875,146.85546875,0.035205078125,0.1609375,0.196142578125,0.176025390625
234,2,34,2_34,107.626953125,114.66796875,143.837890625,0.035205078125,0.145849609375,0.1810546875,0.176025390625
235,2,35,2_35,107.626953125,114.66796875,146.85546875,0.035205078125,0.1609375,0.196142578125,0.176025390625
